"session","called_at","returned_at","call_id","tool","status","arguments","full_output"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:15.296Z","2026-09-12T09:16:15.297Z","chatcmpl-tool-8bf88bb29dac2393","list_files","returned_not_semantically_validated","{""path"":""C:\\Users\\User\\Desktop\\agentic\\3CA\\Q1_R2""}",""
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:26.428Z","2026-09-12T09:16:26.770Z","chatcmpl-tool-b350cf4036c2842b","search_studies","returned_not_semantically_validated","{""query"":""metabolic""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:26.775Z","2026-09-12T09:16:27.036Z","chatcmpl-tool-9c25abc5270a76cc","search_studies","returned_not_semantically_validated","{""query"":""single cell""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:27.040Z","2026-09-12T09:16:27.293Z","chatcmpl-tool-afc91ce13573ed04","search_studies","returned_not_semantically_validated","{""query"":""transcriptional""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:31.660Z","2026-09-12T09:16:31.965Z","chatcmpl-tool-8a0ca008460b8384","search_studies","returned_not_semantically_validated","{""query"":""3CA""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:31.970Z","2026-09-12T09:16:32.341Z","chatcmpl-tool-8291d7db8ad566ff","search_studies","returned_not_semantically_validated","{""query"":""metabolism""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:32.346Z","2026-09-12T09:16:32.600Z","chatcmpl-tool-a526870b66fbc98f","search_studies","returned_not_semantically_validated","{""query"":""cluster""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 0,
  ""studies"": []
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:37.847Z","2026-09-12T09:16:38.126Z","chatcmpl-tool-b6016d6c9fad4d55","get_page","returned_not_semantically_validated","{""url_or_path"":""https://www.weizmann.ac.il/sites/3CA/"",""max_chars"":5000}","{
  ""url"": ""https://www.weizmann.ac.il/sites/3CA/"",
  ""final_url"": ""https://www.weizmann.ac.il/sites/3CA/"",
  ""fetched_at"": ""2026-09-12T01:45:05.455006+00:00"",
  ""raw_html_path"": ""C:\\Users\\User\\Desktop\\agentic\\workflow_codex\\.threeca\\cache\\pages\\b13408a624cb60b4620e0e2c77983f9aee4ba8938292814bab4ff62a595a99b6.html"",
  ""title"": ""| Curated Cancer Cell Atlas"",
  ""text"": ""All cancers #studies 124 #samples 2836 #cells 5658705 Head and Neck #studies 4 #samples 113 #cells 233067 Lung #studies 11 #samples 242 #cells 529508 Liver/Biliary #studies 5 #samples 143 #cells 171429 Kidney #studies 5 #samples 125 #cells 376003 Prostate #studies 4 #samples 49 #cells 81629 Sarcoma #studies 2 #samples 26 #cells 80682 Other/Models #studies 23 #samples 472 #cells 650873 Brain #studies 11 #samples 183 #cells 255713 Breast #studies 12 #samples 336 #cells 877587 Pancreas #studies 7 #samples 132 #cells 378478 Neuroendocrine #studies 4 #samples 50 #cells 144421 Colorectal #studies 5 #samples 287 #cells 526311 Ovarian #studies 11 #samples 115 #cells 269160 Skin #studies 10 #samples 224 #cells 470775 Hematologic #studies 15 #samples 339 #cells 613069"",
  ""links"": [
    {
      ""url"": ""https://www.dropbox.com/scl/fi/4g0erbadyea2zsxl6fprs/Meta-programs.pdf?rlkey=t91q2yo03we22dezeuxyxqi9o&dl=1"",
      ""text"": ""All cancers #studies 124 #samples 2836 #cells 5658705""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/head-and-neck"",
      ""text"": ""Head and Neck #studies 4 #samples 113 #cells 233067""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""text"": ""Lung #studies 11 #samples 242 #cells 529508""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/liverbiliary"",
      ""text"": ""Liver/Biliary #studies 5 #samples 143 #cells 171429""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/kidney"",
      ""text"": ""Kidney #studies 5 #samples 125 #cells 376003""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/prostate"",
      ""text"": ""Prostate #studies 4 #samples 49 #cells 81629""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/sarcoma"",
      ""text"": ""Sarcoma #studies 2 #samples 26 #cells 80682""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/othermodels"",
      ""text"": ""Other/Models #studies 23 #samples 472 #cells 650873""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/brain"",
      ""text"": ""Brain #studies 11 #samples 183 #cells 255713""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/breast"",
      ""text"": ""Breast #studies 12 #samples 336 #cells 877587""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/pancreas"",
      ""text"": ""Pancreas #studies 7 #samples 132 #cells 378478""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/neuroendocrine"",
      ""text"": ""Neuroendocrine #studies 4 #samples 50 #cells 144421""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/colorectal"",
      ""text"": ""Colorectal #studies 5 #samples 287 #cells 526311""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/ovarian"",
      ""text"": ""Ovarian #studies 11 #samples 115 #cells 269160""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/skin"",
      ""text"": ""Skin #studies 10 #samples 224 #cells 470775""
    },
    {
      ""url"": ""https://www.weizmann.ac.il/sites/3CA/hematologic"",
      ""text"": ""Hematologic #studies 15 #samples 339 #cells 613069""
    }
  ],
  ""tables"": [],
  ""cache_hit"": true
}
"
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:38.131Z","2026-09-12T09:16:38.132Z","chatcmpl-tool-acdc02e9f3a0b8ed","list_files","returned_not_semantically_validated","{""path"":""C:\\Users\\User\\Desktop\\agentic\\3CA\\Q1_R2""}",""
"rollout-2026-09-12T17-16-09-d41e4aa6-b5c.jsonl","2026-09-12T09:16:45.216Z","2026-09-12T09:16:45.476Z","chatcmpl-tool-b98f06033b0b7af6","search_studies","returned_not_semantically_validated","{""category"":""Lung""}","{
  ""catalog_fetched_at"": ""2026-09-12T01:45:17.510099+00:00"",
  ""count"": 11,
  ""studies"": [
    {
      ""id"": ""3ca:20764"",
      ""node_id"": ""20764"",
      ""title"": ""Bischoff et al. 2021"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.nature.com/articles/s41388-021-02054-3"",
      ""disease"": ""Lung adenocarcinoma"",
      ""technology"": ""10x"",
      ""samples"": 20,
      ""cells"": 120961,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/08bjhmr5b7zcr9w3qm37n/Data_Bischoff2021_Lung.tar.gz?rlkey=xlv2vwb5xenzczoo9jiktr1ry&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/5phcsqxntjdjjfxypf4l3/Meta-data_Bischoff2021_Lung.tar.gz?rlkey=gmn535v9fqtqaqibvjria1lks&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20764"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20764"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20764"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20764"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20764"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20764""
      }
    },
    {
      ""id"": ""3ca:20767"",
      ""node_id"": ""20767"",
      ""title"": ""Chan et al. 2021"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.cell.com/cancer-cell/fulltext/S1535-6108(21)00497-9"",
      ""disease"": ""SCLC, Lung Adenocarcinoma"",
      ""technology"": ""10x"",
      ""samples"": 37,
      ""cells"": 86662,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/mn5xe6x5hufjy2j570r3y/Data_Chan2021_Lung.tar.gz?rlkey=gptwkhhao0yz3xw0b0olf1l9u&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/n6i0d3km34y5txol8hicy/Meta-data_Chan2021_Lung.tar.gz?rlkey=c6wsubisf8jsnq4ydsppkueec&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20767"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20767"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20767"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20767"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20767"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20767""
      }
    },
    {
      ""id"": ""3ca:20803"",
      ""node_id"": ""20803"",
      ""title"": ""Guo et al. 2018"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.nature.com/articles/s41591-018-0045-3"",
      ""disease"": ""NSCLC"",
      ""technology"": ""SmartSeq2"",
      ""samples"": 40,
      ""cells"": 12346,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/xm4x3thusfqi7vhqbkds6/Data_Guo2018_Lung.tar.gz?rlkey=cnxhnn4c7brjbq6cbdbo2cg5u&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/ni6ja6vcahj1xehyesy6w/Meta-data_Guo2018_Lung.tar.gz?rlkey=dsyaeztbjoa4zkz5p6vjp1ya1&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20803"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20803"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20803"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20803"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20803""
      }
    },
    {
      ""id"": ""3ca:20072"",
      ""node_id"": ""20072"",
      ""title"": ""Ireland et al. 2020"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.sciencedirect.com/science/article/pii/S153561082030218X"",
      ""disease"": ""SCLC"",
      ""technology"": ""10x"",
      ""samples"": 12,
      ""cells"": 31258,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/8b4p8d551dv9wp0mt4blg/Data_Ireland2020_Lung.tar.gz?rlkey=xidxajfu4ynnbl6f3lw9owqlm&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/0k2lt05cdvc6639h2j3uq/Meta-data_Ireland2020_Lung.tar.gz?rlkey=t9jwymniruu2ia4fh0s33n4di&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20072"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20072"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20072""
      }
    },
    {
      ""id"": ""3ca:20082"",
      ""node_id"": ""20082"",
      ""title"": ""Kim et al. 2020"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.nature.com/articles/s41467-020-16164-1"",
      ""disease"": ""Lung adenocarcinoma"",
      ""technology"": ""10x"",
      ""samples"": 14,
      ""cells"": 32493,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/n3hg4fj9bth2tkroej6t2/Data_Kim2020_Lung.tar.gz?rlkey=fxabtlt57pexdj7hdhvddzyjx&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/0vvy8pugcvfz50cut60gy/Meta-data_Kim2020_Lung.tar.gz?rlkey=hrg78tcmlt7l7py1em19y51g7&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20082"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20082"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20082"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20082"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20082"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20082""
      }
    },
    {
      ""id"": ""3ca:20084"",
      ""node_id"": ""20084"",
      ""title"": ""Laughney et al. 2020"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.nature.com/articles/s41591-019-0750-6"",
      ""disease"": ""Lung cancer"",
      ""technology"": ""10x"",
      ""samples"": 17,
      ""cells"": 40505,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/idlzf638lbwtejs3oruoe/Data_Laughney2020_Lung.tar.gz?rlkey=wu1a2fbj2n4iyya5mf2q1on1b&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/bxagrx8emjcca2h69qwk0/Meta-data_Laughney2020_Lung.tar.gz?rlkey=b715kxnv7f7edc11itp0ap417&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20084"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20084"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20084"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20084"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20084"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20084""
      }
    },
    {
      ""id"": ""3ca:20093"",
      ""node_id"": ""20093"",
      ""title"": ""Maynard et al. 2020"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.sciencedirect.com/science/article/pii/S0092867420308825"",
      ""disease"": ""Lung cancer"",
      ""technology"": ""SmartSeq2"",
      ""samples"": 50,
      ""cells"": 19777,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/py7z9tgjdp1m3aw2zop7x/Data_Maynard2020_Lung.tar.gz?rlkey=rirsnfhqus3indqpp5g02ce1u&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/r62e9vf0uo60i5fpfsrd3/Meta-data_Maynard2020_Lung.tar.gz?rlkey=on1mc7puyky0tsnlzkg12l0zb&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20093"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20093"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20093"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20093"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20093"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20093""
      }
    },
    {
      ""id"": ""3ca:20106"",
      ""node_id"": ""20106"",
      ""title"": ""Qian et al. 2020"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.nature.com/articles/s41422-020-0355-0"",
      ""disease"": ""Lung cancer"",
      ""technology"": ""10x"",
      ""samples"": 8,
      ""cells"": 27262,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/361w3739nwvc89l2gx4u8/Data_Qian2020_Lung.tar.gz?rlkey=4w00kvwlnp3jz6fmmtoebao5j&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/4jtax8aklbhszx80krl3f/Meta-data_Qian2020_Lung.tar.gz?rlkey=6hbdtx9ro7n8hdi0z5jti0ikd&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20106"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20106"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20106"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20106"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20106"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20106""
      }
    },
    {
      ""id"": ""3ca:20878"",
      ""node_id"": ""20878"",
      ""title"": ""Song et al. 2019"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://onlinelibrary.wiley.com/doi/10.1002/cam4.2113"",
      ""disease"": ""NSCLC"",
      ""technology"": ""10x"",
      ""samples"": 6,
      ""cells"": 8772,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/k7yd3cine5dmwsjgv839h/Data_Song2019_Lung.tar.gz?rlkey=y9ipfcxsu5btza7j8n2wvpnul&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/eyecfgjefrksfv3ve0qar/Meta-data_Song2019_Lung.tar.gz?rlkey=qiz9mluost6nqh11ddcze84w2&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20878"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20878"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20878"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20878"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20878""
      }
    },
    {
      ""id"": ""3ca:20115"",
      ""node_id"": ""20115"",
      ""title"": ""Xing et al. 2021"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://advances.sciencemag.org/content/7/5/eabd9738"",
      ""disease"": ""Lung cancer"",
      ""technology"": ""10x"",
      ""samples"": 31,
      ""cells"": 118293,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/3ll4j9tdur4485of8s3yf/Data_Xing2021_Lung.tar.gz?rlkey=a4l934jl6hwgqo2tx8f4fuxrk&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/7rawj2jnq8m4wthh9alvg/Meta-data_Xing2021_Lung.tar.gz?rlkey=fdj0tbhi1zi8gnkf6ng724m8t&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20115"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20115"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20115"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20115"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20115"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20115""
      }
    },
    {
      ""id"": ""3ca:20920"",
      ""node_id"": ""20920"",
      ""title"": ""Zilionis et al. 2019"",
      ""category"": ""Lung"",
      ""category_url"": ""https://www.weizmann.ac.il/sites/3CA/lung"",
      ""citation_url"": ""https://www.sciencedirect.com/science/article/pii/S1074761319301268"",
      ""disease"": ""NSCLC"",
      ""technology"": ""inDrop"",
      ""samples"": 7,
      ""cells"": 31179,
      ""assets"": {
        ""data"": ""https://www.dropbox.com/scl/fi/ot0tjg6254ne6hqzp11zv/Data_Zilionis2019_Lung.tar.gz?rlkey=kxqcfab6vaj043bvfkiepx2w9&dl=1"",
        ""metadata"": ""https://www.dropbox.com/scl/fi/0npq2qqtbap05mlzloqvd/Meta-data_Zilionis2019_Lung.tar.gz?rlkey=j9h9kck83ybltirr2t0cnudna&dl=1""
      },
      ""detail_pages"": {
        ""cell_types"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-types/20920"",
        ""summary"": ""https://www.weizmann.ac.il/sites/3CA/study-data/comments/20920"",
        ""meta_programs"": ""https://www.weizmann.ac.il/sites/3CA/study-data/meta-programs/20920"",
        ""cnas"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cnas/20920"",
        ""umap"": ""https://www.weizmann.ac.il/sites/3CA/study-data/umap/20920"",
        ""cell_cycle"": ""https://www.weizmann.ac.il/sites/3CA/study-data/cell-cycle/20920""
      }
    }
  ]
}
"
